Source	Target
AGO2	TIA1
AGO2	HNRNPA1
AGO2	FUS
AGO2	DDX17
AGO2	FOXO3
AGO2	NCL
AGO2	CDK6
AGO2	H3-3B
AGO2	CCND2
AGO2	GAPDH
AGO2	PCBP2
AGO2	PUM2
AGO2	ZFP36
AGO2	XPO5
AGO2	NPM1
AGO2	HSP90AB1
AGO2	HSP90AA1
AHCYL1	MAT2A
AHCYL1	EEF2
AHCYL1	SHTN1
AHCYL1	RACK1
AHCYL1	SUMO2
AHCYL1	GAPDH
AHCYL1	ITPR2
AHI1	RABEP1
AHI1	FOXP2
AHI1	WWOX
AHI1	EVI5
AHI1	PDE7B
AHI1	RAB3IP
AIFM3	GLUL
AIFM3	SOD2
AKAP10	AKAP11
AKAP10	MSN
AKAP10	VPS50
AKAP10	DLG4
AKAP10	PDE3B
AKAP10	PRKAR1B
AKAP10	RGS10
AKAP10	RGS11
AKAP10	RGS6
AKAP11	MSN
AKAP11	PDE3B
AKAP11	MAP2
AKAP11	PRKAR1B
AKAP11	TBC1D4
AKAP11	GPC5
AKNAD1	RPL18A
AKNAD1	SEC61B
AKNAD1	EDF1
AKNAD1	RPL19
AKNAD1	FANCE
AKNAD1	RPS12
AKNAD1	RPS4Y1
AKNAD1	RSAD1
AKNAD1	RPL35
AKNAD1	RPL8
AKNAD1	RPL3L
AKNAD1	RPS11
AKNAD1	RPS27A
AKNAD1	RPS3
AKNAD1	EIF5B
AKNAD1	CCDC105
AKNAD1	MRNIP
AKNAD1	RPL29
AKNAD1	EIF5A2
AKNAD1	RPS23
AKNAD1	RPL10L
AKNAD1	MED1
AKNAD1	ARL6IP1
AKNAD1	RPL13
AKNAD1	EEF2
AKNAD1	RPL15
AKNAD1	DAPL1
AKNAD1	RPL38
AKNAD1	RPL4
AKNAD1	RPS15A
AKNAD1	RPS27L
AKNAD1	EIF5A
AKNAD1	RPL7
AKNAD1	RPS2
AKNAD1	RPS21
AKNAD1	RPL3
AKNAD1	RPL36AL
AKNAD1	RPL27A
AKNAD1	RPL21
AKNAD1	RPLP1
AKNAD1	RPS3A
AKNAD1	RPL22L1
AKNAD1	RPL22
AKNAD1	RPS26
AKNAD1	RPL12
AKNAD1	HMGN2
AKNAD1	RPL39
AKNAD1	GAGE2A
AKNAD1	TEX48
AKNAD1	IFRD2
AKNAD1	MRPS14
AKNAD1	EIF5AL1
AKNAD1	SPDYE14
AKNAD1	H3BN98_HUMAN
AKNAD1	ENSP00000499200
AKNAD1	ENSP00000498801
AKNAD1	SPDYE9P
AKNAD1	GAGE12G
AKNAD1	GAGE12C
AKNAD1	GAGE10
AKNAD1	GAGE12E
AKNAD1	RPL32
AKNAD1	GAGE2E
AKNAD1	GAGE13
AKNAD1	GAGE12J
AKNAD1	GAGE12D
AKNAD1	GAGE12H
AKNAD1	GAGE12F
AKNAD1	GAGE1
AKNAD1	HABP4
AKNAD1	SERBP1
AKNAD1	HMGN1
AKNAD1	NPSR1
AKNAD1	RPL7L1
AKNAD1	RPS5
AKNAD1	NSA2
AKNAD1	RPL10
AKNAD1	H3BNC9_HUMAN
AKNAD1	RPL36A
AKNAD1	RPL36A-HNRNPH2
AKNAD1	RPS29
AKNAD1	RPS4Y2
AKNAD1	RPS4X
AKNAD1	WDR31
AKNAD1	RACK1
AKNAD1	RPL13A
AKNAD1	RPL7A
AKNAD1	DOCK4
AKNAD1	RPSA
AKNAD1	CXorf66
AKNAD1	RSRC1
AKNAD1	RPS27
AKNAD1	RPL17-C18orf32
AKNAD1	RPS14
AKNAD1	RPL9
AKNAD1	RPL17
AKNAD1	RPL10A
AKNAD1	RPS10
AKNAD1	RPS10-NUDT3
AKNAD1	RPL35A
AKNAD1	RPL23
AKNAD1	RPL27
AKNAD1	IFI35
AKNAD1	RPL34
AKNAD1	RPL37A
AKNAD1	RPLP0
AKNAD1	RPS13
AKNAD1	RPL26
AKNAD1	RPL26L1
AKNAD1	RPL39L
AKNAD1	RPLP2
AKNAD1	RPL28
AKNAD1	RPS19
AKNAD1	UBA52
AKNAD1	RPS9
AKNAD1	RPL36
AKNAD1	RPS20
AKNAD1	RPL18
AKNAD1	RPL30
AKNAD1	RPS6
AKNAD1	RPS16
AKNAD1	RPS28
AKNAD1	RPL5
AKNAD1	RPS8
AKNAD1	RPS17
AKNAD1	RPS15
AKNAD1	RPS25
AKNAD1	RPL6
AKNAD1	RPL23A
AKNAD1	RPS24
AKNAD1	RPL31
AKNAD1	RPL24
AKNAD1	RPS7
AKNAD1	RPL11
AKNAD1	RPL14
AKNAD1	RPS18
AKNAD1	FAU
AKT3	NFKB1
AKT3	CCND2
AKT3	PHLPP1
AKT3	RASA1
AKT3	PDE3B
AKT3	KIT
AKT3	HSP90B1
AKT3	ZNF609
AKT3	CD86
AKT3	HSP90AA1
AKT3	FOXO3
AKT3	RAC1
AKT3	NF1
AKT3	MAP3K5
AKT3	PCBP2
AKT3	HSP90AB1
AKT3	DENND1A
AKT3	OGT
AKT3	TBC1D4
AKT3	RPS6
AKT3	GAPDH
AKT3	NAV3
AKT3	BCL2
AKT3	SOS1
AKT3	PRKAR1B
AKT3	PIK3R5
AKT3	LYN
AKT3	CALM1
ALCAM	LGALS3
ALCAM	PDGFRA
ALCAM	THY1
ALCAM	KIT
ALCAM	MYOF
ALCAM	PTPRZ1
ALCAM	YWHAZ
ALCAM	GAPDH
ALCAM	SPP1
ALCAM	NEGR1
ALDOA	HSP90B1
ALDOA	FOS
ALDOA	EEF2
ALDOA	HSP90AA1
ALDOA	TUBA1B
ALDOA	TUBB
ALDOA	GPX4
ALDOA	HSP90AB1
ALDOA	YWHAB
ALDOA	PGK1
ALDOA	TUBB2A
ALDOA	YWHAZ
ALDOA	GAPDH
ALDOA	NDRG1
ALDOA	GPI
ALDOA	SUMO2
ALDOA	GBE1
ALDOA	PPIA
ALDOA	CFL1
ALDOA	ENO2
ALDOA	SOD2
ALDOA	RPLP0
ALDOA	COX4I1
ALDOA	FKBP8
ALDOA	APLP2
ALK	MAP2K5
ALK	FUS
ALK	SMAD2
ALK	GNAQ
ALK	NRG1
ALK	KIT
ALK	NPM1
ALK	KIF5B
ALK	NCL
ALK	ARID1A
ALK	HSP90AA1
ALK	SFPQ
ALK	NF1
ALK	TGFBR2
ALK	MSN
ALK	DCTN1
ALK	GNAS
ALK	HSP90AB1
ALK	PTPRD
ALK	TNK2
ALK	BRAF
ALK	LRP1B
ALK	ARID1B
ALK	ENO2
ALK	SOS1
ALK	GAPDH
ALK	TIA1
ALK	EWSR1
ALK	BCL2
ALK	CLTC
ALK	PTPRZ1
AMBRA1	CANX
AMBRA1	RUBCN
AMBRA1	MAP1B
AMBRA1	MAP1A
AMBRA1	RNF187
AMBRA1	GABARAP
AMBRA1	HSPA5
AMBRA1	HSP90AA1
AMBRA1	ATG7
AMBRA1	UVRAG
AMBRA1	PRKN
AMBRA1	COP1
AMBRA1	DCAF8
AMBRA1	BNIP3
AMBRA1	MAP1LC3A
AMBRA1	BCL2
AMBRA1	GABARAPL1
AMBRA1	DNM1L
AMBRA1	SNCA
AMBRA1	FKBP8
ANK3	ARF5
ANK3	NFKB1
ANK3	PKD2
ANK3	TMOD2
ANK3	SNAP25
ANK3	GYPC
ANK3	PKD1
ANK3	TUBB4A
ANK3	VCAN
ANK3	CDK6
ANK3	CACNA1C
ANK3	RASA1
ANK3	PIEZO1
ANK3	PEA15
ANK3	RACK1
ANK3	TUBB2A
ANK3	GRIP1
ANK3	BCL2
ANK3	CALM2
ANK3	CALM1
ANK3	ERBB4
ANK3	DLGAP1
ANK3	TUBA1A
ANK3	EEF1A1
ANK3	CLIP3
ANK3	ARF1
ANK3	KCNQ5
ANK3	DLG4
ANK3	CLTC
ANK3	SYK
ANK3	PRKD1
ANK3	MAP1B
ANK3	DTNA
ANK3	CNTNAP2
ANK3	DISC1
ANK3	GAPDH
ANK3	GLDN
ANK3	DMD
ANK3	GABARAPL1
ANK3	MSN
ANK3	MAML2
ANK3	ASAP1
ANK3	SCN1B
ANK3	CALM3
ANK3	MAML3
ANK3	ITPR2
ANK3	KCNQ3
ANK3	TIAM1
ANK3	SCN2A
ANK3	SPTAN1
ANK3	SPTBN1
ANK3	GABARAP
ANKRD17	PUM2
ANKRD17	SECISBP2
ANKRD17	SERBP1
ANKRD44	PLCL1
ANKRD44	RFTN2
ANKRD44	ZNRF2
ANKRD44	PPP6R3
ANKS1A	FANCE
ANKS1A	COG5
ANKS1A	YWHAG
ANKS1A	HDAC9
ANKS1A	YWHAZ
ANKS1A	YWHAB
ANKS1A	BCAS3
ANKS1A	SRP19
ANOS1	MT-ND5
ANOS1	MT-CO1
ANOS1	MT-ND2
ANOS1	MT-ND4L
ANOS1	MT-ND3
ANOS1	MT-ND1
ANOS1	MT-ND4
ANOS1	MT-ND6
ANOS1	MT-CO2
ANOS1	MT-CO3
AOAH	LY96
AOAH	LY86
AOAH	ARHGAP24
APLP1	SNCB
APLP1	HABP4
APLP1	DAB1
APLP1	KCNMA1
APLP1	APLP2
APLP1	CLIP3
APLP1	GRIN1
APLP1	APP
APLP1	CNTN5
APLP2	APOE
APLP2	APP
APLP2	DAB1
APLP2	GRIN1
APLP2	LHFPL2
APLP2	PRKCA
APLP2	CNTN5
APLP2	ITM2B
APOD	APOE
APOD	CLU
APOD	PLP1
APOD	HDAC8
APOD	APOO
APOD	SPARCL1
APOD	SPP1
APOD	FGF12
APOD	PTGDS
APOD	FGF14
APOE	NEFM
APOE	NFKB1
APOE	CTSD
APOE	CANX
APOE	CALM3
APOE	PTPRZ1
APOE	MT-CO2
APOE	PTGDS
APOE	SNAP25
APOE	FOS
APOE	SEC14L2
APOE	SLC1A2
APOE	GPX4
APOE	SPARCL1
APOE	DDX17
APOE	MT-ND3
APOE	FUS
APOE	CD46
APOE	CACNA2D3
APOE	FOXO3
APOE	SOD2
APOE	SNRNP70
APOE	VSNL1
APOE	SCN2A
APOE	DISC1
APOE	CYBA
APOE	SELENOP
APOE	NRGN
APOE	DLG4
APOE	BCL2
APOE	HSPA5
APOE	UNC5C
APOE	NPC2
APOE	NCOA1
APOE	CHI3L1
APOE	SCD
APOE	PPIA
APOE	F3
APOE	THY1
APOE	LRP1B
APOE	NCL
APOE	SPP1
APOE	LGALS3
APOE	GPC6
APOE	PRKN
APOE	YWHAZ
APOE	APOO
APOE	GAPDH
APOE	GFAP
APOE	CD81
APOE	ITM2B
APOE	OLR1
APOE	GPC5
APOE	P2RY12
APOE	FTO
APOE	GAB2
APOE	HSP90B1
APOE	PICALM
APOE	CST3
APOE	ERBB4
APOE	SNCA
APOE	CLU
APOE	APP
APOO	APP
APOO	CLU
APOO	TOMM20
APOO	NDUFA13
APOO	CHCHD3
APP	MIF
APP	SLC17A7
APP	NFKB1
APP	CTSD
APP	ATXN1
APP	CANX
APP	NEDD8
APP	GFAP
APP	FUS
APP	SNAP25
APP	CHI3L1
APP	SYT1
APP	SLC1A3
APP	SLC1A2
APP	THY1
APP	NRGN
APP	PIEZO1
APP	KIF1A
APP	P2RY12
APP	FMNL2
APP	NLGN1
APP	KCNMA1
APP	PLSCR1
APP	ERBB4
APP	STX16
APP	MT-ND1
APP	TUBA1B
APP	NAA10
APP	ATG7
APP	CD46
APP	HSP90AB1
APP	MT-CO2
APP	DNM1L
APP	YWHAG
APP	GRIA2
APP	VSNL1
APP	NRG1
APP	TUBA1A
APP	ENO2
APP	HNRNPA2B1
APP	F3
APP	MAP1LC3A
APP	SNRNP70
APP	CALM3
APP	TAB2
APP	DHFR
APP	HNRNPA1
APP	LINGO1
APP	OLFM1
APP	FOS
APP	NCL
APP	TRIO
APP	CAMK2A
APP	HSPA5
APP	PLP1
APP	HSP90B1
APP	NUCB1
APP	TOMM20
APP	PTGDS
APP	MAP2
APP	BCL2
APP	PLCB1
APP	COL18A1
APP	RTN3
APP	CFL1
APP	SNCB
APP	HSP90AA1
APP	GAP43
APP	ARRB1
APP	MAP1B
APP	DAB1
APP	VAMP2
APP	LRP1B
APP	MAP3K5
APP	MBP
APP	SYN1
APP	GRIN1
APP	LRP4
APP	NF1
APP	PICALM
APP	DLG4
APP	FOXO3
APP	CNTN5
APP	PRKN
APP	DISC1
APP	CST3
APP	ITM2B
APP	GAPDH
APP	SNCA
APP	CLU
APPL2	TBC1D1
APPL2	CRADD
ARF1	ARF5
ARF1	PFN2
ARF1	CANX
ARF1	HIP1R
ARF1	SNAP25
ARF1	ARF3
ARF1	RASA1
ARF1	ARHGAP26
ARF1	CYTH3
ARF1	DCTN5
ARF1	YWHAG
ARF1	KIF5B
ARF1	CTBP2
ARF1	PACS1
ARF1	EEF1A1
ARF1	DYNC1H1
ARF1	ETF1
ARF1	DCTN1
ARF1	HSP90AB1
ARF1	PICALM
ARF1	HLA-DRA
ARF1	GAPDH
ARF1	SLC38A9
ARF1	GRIP1
ARF1	VSNL1
ARF1	KIF26B
ARF1	PRKD1
ARF1	KIF5A
ARF1	ARRB1
ARF1	VAMP2
ARF1	ASAP1
ARF1	CFL1
ARF1	EIF4G2
ARF1	KIF1A
ARF1	RABEP1
ARF1	ARHGDIA
ARF1	TBC1D24
ARF1	CLTC
ARF3	ARF5
ARF3	SOS2
ARF3	EXOC4
ARF3	DIAPH2
ARF3	CACNA1C
ARF3	RAB10
ARF3	CMIP
ARF3	STARD13
ARF3	RAP1A
ARF3	RHOB
ARF3	RAC1
ARF3	CALM3
ARF3	SOS1
ARF3	FMN1
ARF3	KIF5A
ARF3	KIF1A
ARF3	KIF26B
ARF3	DCTN5
ARF3	DCTN1
ARF3	DYNC1H1
ARF3	ARHGDIA
ARF3	RALGDS
ARF3	KIF5B
ARF3	RASA1
ARF5	OSBPL3
ARF5	GRM7
ARF5	GRIP1
ARF5	TBC1D24
ARF5	KIF5A
ARF5	DCTN1
ARF5	KIF1A
ARF5	KIF5B
ARF5	DCTN5
ARF5	KIF26B
ARF5	DYNC1H1
ARF5	ASAP1
ARFGEF3	KCNH7
ARFGEF3	LRRTM4
ARGLU1	NKTR
ARGLU1	RBM39
ARGLU1	FUS
ARGLU1	RBM25
ARGLU1	RBM5
ARGLU1	HNRNPH1
ARGLU1	SFPQ
ARGLU1	SRSF11
ARGLU1	OGT
ARGLU1	FAM155A
ARGLU1	LUC7L3
ARGLU1	RPL14
ARGLU1	HNRNPDL
